noga_slug,nace_slug,noga_level,nace_level,noga_code,nace_code,noga_uri,nace_uri,section,noga_label_en,noga_label_de,noga_label_fr,noga_label_it,nace_label_en,nace_label_bg,nace_label_cs,nace_label_da,nace_label_de,nace_label_el,nace_label_es,nace_label_et,nace_label_fi,nace_label_fr,nace_label_hr,nace_label_hu,nace_label_it,nace_label_lt,nace_label_lv,nace_label_mt,nace_label_nl,nace_label_no,nace_label_pl,nace_label_pt,nace_label_ro,nace_label_ru,nace_label_sk,nace_label_sl,nace_label_sv,nace_label_tr
noga-a,nace-a,section,section,A,A,https://register.ld.admin.ch/i14y/concept/nogaCode/A,http://data.europa.eu/ux2/nace2/A,A,"AGRICULTURE, FORESTRY AND FISHING","LAND- UND FORSTWIRTSCHAFT, FISCHEREI","AGRICULTURE, SYLVICULTURE ET PÊCHE","AGRICOLTURA, SILVICOLTURA E PESCA","AGRICULTURE, FORESTRY AND FISHING","СЕЛСКО, ГОРСКО И РИБНО СТОПАНСТВО","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","LANDBRUG, JAGT, SKOVBRUG OG FISKERI","LAND- UND FORSTWIRTSCHAFT, FISCHEREI","ΓΕΩΡΓΙΑ, ΔΑΣΟΚΟΜΙΑ ΚΑΙ ΑΛΙΕΙΑ","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK","MAATALOUS, METSÄTALOUS JA KALATALOUS","AGRICULTURE, SYLVICULTURE ET PÊCHE","POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO","MEZŐGAZDASÁG, ERDŐGAZDÁLKODÁS, HALÁSZAT","AGRICOLTURA, SILVICOLTURA E PESCA","ŽEMĖS ŪKIS, MIŠKININKYSTĖ IR ŽUVININKYSTĖ","LAUKSAIMNIECĪBA, MEŽSAIMNIECĪBA UN ZIVSAIMNIECĪBA","AGRIKOLTURA, FORESTRIJA U SAJD","LANDBOUW, BOSBOUW EN VISSERIJ","JORDBRUK, SKOGBRUK OG FISKE","ROLNICTWO, LEŚNICTWO I RYBACTWO","AGRICULTURA, FLORESTA E PESCA","AGRICULTURĂ, SILVICULTURĂ ŞI PESCUIT","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","POĽNOHOSPODÁRSTVO, LESNÍCTVO A RYBOLOV","KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO","JORDBRUK, SKOGSBRUK OCH FISKE","TARIM, ORMANCILIK VE BALIKÇILIK"
noga-b,nace-b,section,section,B,B,https://register.ld.admin.ch/i14y/concept/nogaCode/B,http://data.europa.eu/ux2/nace2/B,B,MINING AND QUARRYING,BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN,INDUSTRIES EXTRACTIVES,ATTIVITÀ ESTRATTIVA,MINING AND QUARRYING,ДОБИВНА ПРОМИШЛЕНОСТ,TĚŽBA A DOBÝVÁNÍ,RÅSTOFINDVINDING,BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN,ΟΡΥΧΕΙΑ ΚΑΙ ΛΑΤΟΜΕΙΑ,INDUSTRIAS EXTRACTIVAS,MÄETÖÖSTUS,KAIVOSTOIMINTA JA LOUHINTA,INDUSTRIES EXTRACTIVES,RUDARSTVO I VAĐENJE,"BÁNYÁSZAT, KŐFEJTÉS",ATTIVITÀ ESTRATTIVA,KASYBA IR KARJERŲ EKSPLOATAVIMAS,IEGUVES RŪPNIECĪBA UN KARJERU IZSTRĀDE,MINJERI U BARRIERI,WINNING VAN DELFSTOFFEN,BERGVERKSDRIFT OG UTVINNING,GÓRNICTWO I WYDOBYWANIE,INDÚSTRIAS EXTRACTIVAS,INDUSTRIA EXTRACTIVĂ,ГОРНОДОБЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ И РАЗРАБОТКА КАРЬЕРОВ,ŤAŽBA A DOBÝVANIE,RUDARSTVO,UTVINNING AV MINERAL,MADENCİLİK VE TAŞ OCAKÇILIĞI
noga-c,nace-c,section,section,C,C,https://register.ld.admin.ch/i14y/concept/nogaCode/C,http://data.europa.eu/ux2/nace2/C,C,MANUFACTURING,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,INDUSTRIE MANUFACTURIÈRE,ATTIVITÀ MANIFATTURIERE,MANUFACTURING,ПРЕРАБОТВАЩА ПРОМИШЛЕНОСТ,ZPRACOVATELSKÝ PRŮMYSL,FREMSTILLINGSVIRKSOMHED,VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN,ΜΕΤΑΠΟΙΗΣΗ,INDUSTRIA MANUFACTURERA,TÖÖTLEV TÖÖSTUS,TEOLLISUUS,INDUSTRIE MANUFACTURIÈRE,PRERAĐIVAČKA INDUSTRIJA,FELDOLGOZÓIPAR,ATTIVITÀ MANIFATTURIERE,APDIRBAMOJI GAMYBA,APSTRĀDES RŪPNIECĪBA,MANIFATTURA,INDUSTRIE,INDUSTRI,PRZETWÓRSTWO PRZEMYSŁOWE,INDÚSTRIAS TRANSFORMADORAS,INDUSTRIA PRELUCRĂTOARE,ОБРАБАТЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ,PRIEMYSELNÁ VÝROBA,PREDELOVALNE DEJAVNOSTI,TILLVERKNING,İMALAT
noga-d,nace-d,section,section,D,D,https://register.ld.admin.ch/i14y/concept/nogaCode/D,http://data.europa.eu/ux2/nace2/D,D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",ENERGIEVERSORGUNG,"PRODUCTION ET DISTRIBUTION D'ÉLECTRICITÉ, DE GAZ, DE VAPEUR ET D'AIR CONDITIONNÉ","FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",ПРОИЗВОДСТВО И РАЗПРЕДЕЛЕНИЕ НА ЕЛЕКТРИЧЕСКА И ТОПЛИННА ЕНЕРГИЯ И НА ГАЗООБРАЗНИ ГОРИВА,"DODÁVÁNÍ ELEKTŘINY, PLYNU, PÁRY A KLIMATIZOVANÉHO VZDUCHU","EL-, GAS- OG FJERNVARMEFORSYNING",ENERGIEVERSORGUNG,"ΠΑΡΟΧΗ ΗΛΕΚΤΡΙΚΟΥ ΡΕΥΜΑΤΟΣ, ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ, ΑΤΜΟΥ ΚΑΙ ΚΛΙΜΑΤΙΣΜΟΥ","SUMINISTRO DE ENERGIA ELECTRICA, GAS, VAPOR Y AIRE ACONDICIONADO","ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE","SÄHKÖ-, KAASU-, LÄMPÖ- JA ILMASTOINTIHUOLTO","PRODUCTION ET DISTRIBUTION D'ÉLECTRICITÉ, DE GAZ, DE VAPEUR ET D'AIR CONDITIONNÉ","OPSKRBA ELEKTRIČNOM ENERGIJOM, PLINOM, PAROM I KLIMATIZACIJA","VILLAMOSENERGIA-, GÁZ-, GŐZELLÁTÁS, LÉGKONDICIONÁLÁS","FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA","ELEKTROS, DUJŲ, GARO TIEKIMAS IR ORO KONDICIONAVIMAS","ELEKTROENERĢIJA, GĀZES APGĀDE, SILTUMAPGĀDE UN GAISA KONDICIONĒŠANA","PROVVISTA TA' ELETTRIKU, GASS, FWAR U ARJA KKONDIZZJONATA","PRODUCTIE EN DISTRIBUTIE VAN ELEKTRICITEIT, GAS, STOOM EN GEKOELDE LUCHT","ELEKTRISITETS-, GASS-, DAMP- OG VARMTVANNSFORSYNING","WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH","PRODUÇÃO E DISTRIBUIÇÃO DE ELECTRICIDADE, GÁS, VAPOR E AR FRIO","PRODUCŢIA ŞI FURNIZAREA DE ENERGIE ELECTRICĂ ŞI TERMICĂ, GAZE, APĂ CALDĂ ŞI AER CONDIŢIONAT","ЭЛЕКТРОСНАБЖЕНИЕ, ПОДАЧА ГАЗА, ПАРА И ВОЗДУШНОЕ КОНДИЦИОНИРОВАНИЕ","DODÁVKA ELEKTRINY, PLYNU, PARY A STUDENÉHO VZDUCHU","OSKRBA Z ELEKTRIČNO ENERGIJO, PLINOM IN PARO","FÖRSÖRJNING AV EL, GAS, VÄRME OCH KYLA","ELEKTRİK, GAZ, BUHAR VE İKLİMLENDİRME ÜRETİMİ VE DAĞITIMI"
noga-e,nace-e,section,section,E,E,https://register.ld.admin.ch/i14y/concept/nogaCode/E,http://data.europa.eu/ux2/nace2/E,E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",WASSERVERSORGUNG; ABWASSER- UND ABFALLENTSORGUNG UND BESEITIGUNG VON UMWELTVERSCHMUTZUNGEN,"PRODUCTION ET DISTRIBUTION D'EAU; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION","FORNITURA DI ACQUA; RETI FOGNARIE, ATTIVITÀ DI TRATTAMENTO DEI RIFIUTI E RISANAMENTO","WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES","ДОСТАВЯНЕ НА ВОДИ; КАНАЛИЗАЦИОННИ УСЛУГИ, УПРАВЛЕНИЕ НА ОТПАДЪЦИ И ВЪЗСТАНОВЯВАНЕ","ZÁSOBOVÁNÍ VODOU; ČINNOSTI SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI","VANDFORSYNING; KLOAKVÆSEN, AFFALDSHÅNDTERING OG RENSNING AF JORD OG GRUNDVAND",WASSERVERSORGUNG; ABWASSER- UND ABFALLENTSORGUNG UND BESEITIGUNG VON UMWELTVERSCHMUTZUNGEN,"ΠΑΡΟΧΗ ΝΕΡΟΥ· ΕΠΕΞΕΡΓΑΣΙΑ ΛΥΜΑΤΩΝ, ΔΙΑΧΕΙΡΙΣΗ ΑΠΟΒΛΗΤΩΝ ΚΑΙ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΕΞΥΓΙΑΝΣΗΣ","SUMINISTRO DE AGUA, ACTIVIDADES DE SANEAMIENTO, GESTIÓN DE RESIDUOS Y DESCONTAMINACIÓN",VEEVARUSTUS; KANA LISATSIOON; JÄÄTME- JA SAASTEKÄITLUS,"VESIHUOLTO, VIEMÄRI- JA JÄTEVESIHUOLTO, JÄTEHUOLTO JA MUU YMPÄRISTÖN PUHTAANAPITO","PRODUCTION ET DISTRIBUTION D'EAU; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION","OPSKRBA VODOM; UKLANJANJE OTPADNIH VODA, GOSPODARENJE OTPADOM TE DJELATNOSTI SANACIJE OKOLIŠA","VÍZELLÁTÁS; SZENNYVÍZ GYŰJTÉSE, KEZELÉSE, HULLADÉKGAZDÁLKODÁS, SZENNYEZŐDÉSMENTESÍTÉS","FORNITURA DI ACQUA; RETI FOGNARIE, ATTIVITÀ DI TRATTAMENTO DEI RIFIUTI E RISANAMENTO","VANDENS TIEKIMAS NUOTEKŲ VALYMAS, ATLIEKŲ TVARKYMAS IR REGENERAVIMAS","ŪDENS APGĀDE; NOTEKŪDEŅU, ATKRITUMU APSAIMNIEKOŠANA UN SANĀCIJA","PROVVISTA TA' L-ILMA; SISTEMA TA' DRENAĠĠI, IMMANIĠĠAR TA' L-ISKART U ATTIVITAJIET TA' RIMEDJAZZJONI",DISTRIBUTIE VAN WATER; AFVAL- EN AFVALWATERBEHEER EN SANERING,"VANNFORSYNING, AVLØPS- OG RENOVASJONSVIRKSOMHET",DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA; SANEAMENTO, GESTÃO DE RESÍDUOS E DESPOLUIÇÃO","DISTRIBUŢIA APEI; SALUBRITATE, GESTIONAREA DEŞEURILOR, ACTIVITĂŢI DE DECONTAMINARE","ВОДОСНАБЖЕНИЕ; КАНАЛИЗАЦИОННАЯ СИСТЕМА, КОНТРОЛЬ НАД СБОРОМ И РАСПРЕДЕЛЕНИЕМ ОТХОДОВ","DODÁVKA VODY; ČISTENIE A ODVOD ODPADOVÝCH VÔD, ODPADY A SLUŽBY ODSTRAŇOVANIA ODPADOV",OSKRBA Z VODO; RAVNANJE Z ODPLAKAMI IN ODPADKI; SANIRANJE OKOLJA,"VATTENFÖRSÖRJNING; AVLOPPSRENING, AVFALLSHANTERING OCH SANERING","SU TEMİNİ; KANALİZASYON, ATIK YÖNETİMİ VE İYİLEŞTİRME FAALİYETLERİ"
noga-f,nace-f,section,section,F,F,https://register.ld.admin.ch/i14y/concept/nogaCode/F,http://data.europa.eu/ux2/nace2/F,F,CONSTRUCTION,BAUGEWERBE/BAU,CONSTRUCTION,COSTRUZIONI,CONSTRUCTION,СТРОИТЕЛСТВО,STAVEBNICTVÍ,BYGGE- OG ANLÆGSVIRKSOMHED,BAUGEWERBE/BAU,ΚΑΤΑΣΚΕΥΕΣ,CONSTRUCCIÓN,EHITUS,RAKENTAMINEN,CONSTRUCTION,GRAĐEVINARSTVO,ÉPÍTŐIPAR,COSTRUZIONI,STATYBA,BŪVNIECĪBA,KOSTRUZZJONI,BOUWNIJVERHEID,BYGGE- OG ANLEGGSVIRKSOMHET,BUDOWNICTWO,CONSTRUÇÃO,CONSTRUCŢII,СТРОИТЕЛЬСТВО,STAVEBNÍCTVO,GRADBENIŠTVO,BYGGVERKSAMHET,İNŞAAT
noga-g,nace-g,section,section,G,G,https://register.ld.admin.ch/i14y/concept/nogaCode/G,http://data.europa.eu/ux2/nace2/G,G,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,HANDEL; INSTANDHALTUNG UND REPARATUR VON KRAFTFAHRZEUGEN,COMMERCE; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES,COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ТЪРГОВИЯ; РЕМОНТ НА АВТОМОБИЛИ И МОТОЦИКЛЕТИ,VELKOOBCHOD A MALOOBCHOD; OPRAVY A ÚDRŽBA MOTOROVÝCH VOZIDEL,HOVEDAFDEL ING G ENGROSHANDEL OG DETAILHANDEL; REPARATION AF MOTORKØRETØJER OG MOTORCYKLER,HANDEL; INSTANDHALTUNG UND REPARATUR VON KRAFTFAHRZEUGEN,ΧΟΝΔΡΙΚΟ ΚΑΙ ΛΙΑΝΙΚΟ ΕΜΠΟΡΙΟ· ΕΠΙΣΚΕΥΗ ΜΗΧΑΝΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ ΚΑΙ ΜΟΤΟΣΥΚΛΕΤΩΝ,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT,TUKKU- ja VÄHITTÄISKAUPPA; MOOTTORIAJONEUVOJEN JA MOOTTORIPYÖRIEN KORJAUS,COMMERCE; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TRGOVINA NA VELIKO I NA MALO; POPRAVAK MOTORNIH VOZILA I MOTOCIKALA,"KERESKEDELEM, GÉPJÁRMŰJAVÍTÁS",COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,DIDMENINĖ IR MAŽMENINĖ PREKYBA; VARIKLINIŲ TRANSPORTO PRIEMONIŲ IR MOTOCIKLŲ REMONTAS,VAIRUMTIRDZNIECĪBA UN MAZUMTIRDZNIECĪBA; AUTOMOBIĻU UN MOTOCIKLU REMONTS,NEGOZJU BL-INGROSSA U BL-IMNUT; TISWIJA TA' VETTURI BIL-MUTUR U MUTURI,GROOT- EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN,"VAREHANDEL, REPARASJON AV MOTORVOGNER",HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH I MOTOCYKLI,COMÉRCIO POR GROSSO E A RETALHO; REPARAÇÃO DE VEÍCULOS AUTOMÓVEIS E MOTOCICLOS,COMERŢ CU RIDICATA ŞI CU AMĂNUNTUL; REPARAREA AUTOVEHICULELOR ŞI MOTOCICLETELOR,ОПТОВАЯ И РОЗНИЧНАЯ ТОРГОВЛЯ; РЕМОНТ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,VEĽKOOBCHOD A MALOOBCHOD; OPRAVA MOTOROVÝCH VOZIDIEL A MOTOCYKLOV,TRGOVINA; VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL,HANDEL; REPARATION AV MOTORFORDON OCH MOTORCYKLAR,TOPTAN VE PERAKENDE TİCARET; MOTORLU KARA TAŞITLARININ VE MOTOSİKLETLERİN ONARIMI
noga-h,nace-h,section,section,H,H,https://register.ld.admin.ch/i14y/concept/nogaCode/H,http://data.europa.eu/ux2/nace2/H,H,TRANSPORTATION AND STORAGE,VERKEHR UND LAGEREI,TRANSPORTS ET ENTREPOSAGE,TRASPORTO E MAGAZZINAGGIO,TRANSPORTATION AND STORAGE,"ТРАНСПОРТ, СКЛАДИРАНЕ И ПОЩИ",DOPRAVA A SKLADOVÁNÍ,TRANSPORT OG GODSHÅNDTERING,VERKEHR UND LAGEREI,ΜΕΤΑΦΟΡΑ ΚΑΙ ΑΠΟΘΗΚΕΥΣΗ,TRANSPORTE Y ALMACENAMIENTO,VEONDUS JA LAONDUS,KULJETUS JA VARASTOINTI,TRANSPORTS ET ENTREPOSAGE,PRIJEVOZ I SKLADIŠTENJE,"SZÁLLÍTÁS, RAKTÁROZÁS",TRASPORTO E MAGAZZINAGGIO,TRANSPORTAS IR SAUGOJIMAS,TRANSPORTS UN UZGLABĀŠANA,TRASPORT U ĦAŻNA,VERVOER EN OPSLAG,TRANSPORT OG LAGRING,TRANSPORT I GOSPODARKA MAGAZYNOWA,TRANSPORTES E ARMAZENAGEM,TRANSPORT ŞI DEPOZITARE,ТРАНСПОРТ И СКЛАДИРОВАНИЕ,DOPRAVA A SKLADOVANIE,PROMET IN SKLADIŠČENJE,TRANSPORT OCH MAGASINERING,ULAŞTIRMA VE DEPOLAMA
noga-i,nace-i,section,section,I,I,https://register.ld.admin.ch/i14y/concept/nogaCode/I,http://data.europa.eu/ux2/nace2/I,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE,HÉBERGEMENT ET RESTAURATION,SERVIZI DI ALLOGGIO E DI RISTORAZIONE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,ХОТЕЛИЕРСТВО И РЕСТОРАНТЬОРСТВО,"UBYTOVÁNÍ, STRAVOVÁNÍ A POHOSTINSTVÍ",OVERNATNINGSFACILITETER OG RESTAURATIONSVIRKSOMHED,GASTGEWERBE/BEHERBERGUNG UND GASTRONOMIE,ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΥΠΗΡΕΣΙΩΝ ΠΑΡΟΧΗΣ ΚΑΤΑΛΥΜΑΤΟΣ ΚΑΙ ΥΠΗΡΕΣΙΩΝ ΕΣΤΙΑΣΗΣ,HOSTELERÍA,MAJUTUS JA TOITLUSTUS,MAJOITUS- JA RAVITSEMISTOIMINTA,HÉBERGEMENT ET RESTAURATION,DJELATNOSTI PRUŽANJA SMJEŠTAJA TE PRIPREME I USLUŽIVANJA HRANE,"SZÁLLÁSHELY-SZOLGÁLTATÁS, VENDÉGLÁTÁS",SERVIZI DI ALLOGGIO E DI RISTORAZIONE,APGYVENDINIMO IR MAITINIMO PASLAUGŲ VEIKLA,IZMITINĀŠANA UN ĒDINĀŠANAS PAKALPOJUMI,AKKOMODAZZJONI U IKEL ATTIVITAJIET TA' SERVIZZ,VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN,OVERNATTINGS- OG SERVERINGSVIRKSOMHET,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,ACTIVIDADES DE ALOJAMENTO E RESTAURAÇÃO,HOTELURI ŞI RESTAURANTE,УСЛУГИ ПО ПРОЖИВАНИЮ И ПИТАНИЮ,UBYTOVACIE A STRAVOVACIE SLUŽBY,GOSTINSTVO,HOTELL- OCH RESTAURANGVERKSAMHET,KONAKLAMA VE YİYECEK HİZMETİ FAALİYETLERİ
noga-j,nace-j,section,section,J,J,https://register.ld.admin.ch/i14y/concept/nogaCode/J,http://data.europa.eu/ux2/nace2/J,J,INFORMATION AND COMMUNICATION,INFORMATION UND KOMMUNIKATION,INFORMATION ET COMMUNICATION,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,INFORMATION AND COMMUNICATION,СЪЗДАВАНЕ И РАЗПРОСТРАНЕНИЕ НА ИНФОРМАЦИЯ И ТВОРЧЕСКИ ПРОДУКТИ; ДАЛЕКОСЪОБЩЕНИЯ,INFORMAČNÍ A KOMUNIKAČNÍ ČINNOSTI,INFORMATION OG KOMMUNIKATION,INFORMATION UND KOMMUNIKATION,ΕΝΗΜΕΡΩΣΗ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑ,INFORMACIÓN Y COMUNICACIONES,INFO JA SIDE,INFORMAATIO JA VIESTINTÄ,INFORMATION ET COMMUNICATION,INFORMACIJE I KOMUNIKACIJE,"INFORMÁCIÓ, KOMMUNIKÁCIÓ",SERVIZI DI INFORMAZIONE E COMUNICAZIONE,INFORMACIJA IR RYŠIAI,INFORMĀCIJAS UN KOMUNIKĀCIJAS PAKALPOJUMI,INFORMATIKA U KOMUNIKAZZJONI,INFORMATIE EN COMMUNICATIE,INFORMASJON OG KOMMUNIKASJON,INFORMACJA I KOMUNIKACJA,INFORMAÇÃO E COMUNICAÇÃO,INFORMAŢII ŞI COMUNICAŢII,ИНФОРМАЦИЯ И СВЯЗЬ,INFORMÁCIE A KOMUNIKÁCIA,INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,INFORMATIONS- OCH KOMMUNIKATIONSVERKSAMHET,BİLGİ VE İLETİŞİM
